username_instagram,tier_followers,influencer_id,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,familiarity_media_pct,trending_status,likeability_sentiment,campaign_success_signif,engagement_rate_pct,rate_card_story,rate_card_feeds,rate_card_reels,has_relevant_history,random_endorse_rate,behavior_consistency,expertise_field,avg_reels_views,avg_post_like,avg_comment
rayhan.fadillah14,Micro,INF117,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,tech,15500,3100,390
rendytoys,Mid,INF118,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,2000000,7000000,9000000,False,0.3,True,gaming,11200,1850,210
rey_bong26,Mega,INF120,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,11000000,28000000,38000000,False,0.3,True,entertainment,11200,1850,210
rezaditya17,Macro,INF121,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,5000000,15000000,20000000,True,0.45,True,finance,16200,3350,405
rian.sagit,Micro,INF122,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,tech,11200,1850,210
risyabrabo,Macro,INF123,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,4500000,13000000,18000000,True,0.42,True,tech,15500,3100,390
rivaldosantosa,Mid,INF124,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,2000000,7000000,9000000,False,0.3,True,sport,11200,1850,210
rizkyfadillah_21,Mid,INF125,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,finance,15500,3100,390
rizkyfbian,Mega,INF126,"['Generasi Z', 'Milenial']",['Laki-laki'],['Atas'],"['Modern', 'Aktif']","['Ekspresif', 'Energetic']",Kreatif,0.91,True,Positive,True,0.057,12000000,30000000,40000000,True,0.55,True,music,280000,70000,5000
rizkypahleviii,Micro,INF127,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,tech,11200,1850,210
robby.firlian,Micro,INF128,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,finance,15500,3100,390
rowieeka_,Micro,INF130,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
rrafelo,Mid,INF131,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,2000000,7000000,9000000,False,0.3,True,tech,11200,1850,210
ryangoutama,Macro,INF132,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,4500000,13000000,18000000,True,0.42,True,tech,15500,3100,390
ryanwibawa,Micro,INF133,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,gaming,11200,1850,210
safiraprameswari,Mid,INF134,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,2500000,8000000,10000000,True,0.42,True,beauty,15500,3100,390
salsaaprtw,Micro,INF135,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
sarah.nuruli,Micro,INF136,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
sarwendah29,Mega,INF137,"['Generasi Z', 'Milenial']",['Perempuan'],['Atas'],"['Modern', 'Aktif']","['Ekspresif', 'Energetic']",Kreatif,0.91,True,Positive,True,0.056,11000000,28000000,38000000,True,0.54,True,entertainment,260000,60000,4000
satasyaaa,Micro,INF138,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
shalfaptr,Micro,INF139,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
shazfa.adesya,Mid,INF140,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
sinisukanthony,Mega,INF141,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,12000000,30000000,40000000,True,0.42,True,tech,15500,3100,390
sofarsabi,Macro,INF142,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,3500000,10000000,14000000,False,0.34,True,lifestyle,12000,2500,270
stjka_,Micro,INF143,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
syaharanieptr,Micro,INF144,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
talulandjanie,Nano,INF145,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,300000,800000,1800000,True,0.42,True,beauty,15500,3100,390
tasyarevina,Mega,INF146,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,11000000,28000000,38000000,False,0.34,True,lifestyle,12000,2500,270
tiffany_jolie,Macro,INF147,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,4500000,13000000,18000000,True,0.42,True,beauty,15500,3100,390
tiffanyfani,Nano,INF148,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,300000,800000,1800000,False,0.34,True,lifestyle,12000,2500,270
timotiusmul,Macro,INF149,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,4500000,13000000,18000000,True,0.42,True,tech,15500,3100,390
titantyra,Nano,INF150,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,300000,800000,1800000,False,0.34,True,lifestyle,12000,2500,270
vamells,Mega,INF151,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,12000000,30000000,40000000,True,0.42,True,beauty,15500,3100,390
vannesaffandi,Nano,INF152,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,300000,800000,1800000,False,0.3,True,sport,11200,1850,210
wasawirman,Macro,INF153,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,4500000,13000000,18000000,True,0.42,True,finance,15500,3100,390
williamroberts08,Mega,INF154,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,11000000,28000000,38000000,False,0.3,True,tech,11200,1850,210
wilmpratamaa,Micro,INF155,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,tech,15500,3100,390
yosiiochie,Nano,INF156,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,300000,800000,1800000,False,0.34,True,lifestyle,12000,2500,270
zaskiadyamecca,Mega,INF157,"['Milenial', 'Generasi Z']",['Perempuan'],['Atas'],"['Modern', 'Aktif']","['Ekspresif', 'Energetic']",Kreatif,0.9,True,Positive,True,0.055,10000000,25000000,35000000,True,0.53,True,entertainment,220000,50000,3500
rahmat._17,Nano,INF158,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Fun', 'Energetic']",Brave,0.7,False,Neutral,False,0.035,310000,780000,1850000,False,0.32,True,sport,11500,2000,230
adindarizkyana_,Micro,INF159,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.8,True,Positive,True,0.048,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
_dindayasmin,Mid,INF160,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
rolansihombing_,Macro,INF161,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,4500000,13000000,18000000,True,0.42,True,sport,15500,3100,390
