comment,predicted_label,confidence
Minum ini beneran ngaruh lancar BAB ?😮,product-focused response,0.2953
I need to try me some 😋,supportive sentiment,0.6509
Wah kebetulan bgt ketemu produk ini,product-focused response,0.515
I need to try this out!,supportive sentiment,0.6999
"wow love this, looks so good product❤️",supportive sentiment,0.6761
Great healthy benefits in this amazing drink❤️,supportive sentiment,0.7235
I must try drinking this.,supportive sentiment,0.5158
"Sounds like a delicious drink, a must try😍",supportive sentiment,0.7356
Gotta start the morning with some tea,relatable engagement,0.2798
Harus CO yg satu ini …,product-focused response,0.4288
udah rasanya enak bnyk khasiatnya 😍,product-focused response,0.7648
Mau nyobain deh aku,product-focused response,0.5005
i would like to try this,product-focused response,0.6938
Kayanya cocok nih untuk papah muda yg mulai membuncit sepertiku 🫢😁,product-focused response,0.8933
Baru nyoba beberapa hari tapi udah kerasa bedanya🙌,product-focused response,0.571
Tehnya rekomen banget deh buat yang mau sehat alami🙌,supportive sentiment,0.7867
kayaknya enak tuh rasa lecinya Bikin ngiler 🤤,supportive sentiment,0.4714
Ellyyy aku mau banget ini... Biar perutku balik kayak jaman kuliah dulu (ga usah disebut tahunnya biar gak ketahuan) 🤭,relatable engagement,0.6832
I've never try that tea.. i think that nice.,supportive sentiment,0.7575
Mau coba beli ini juga deh,relatable engagement,0.4326
That’s good stuff. I take it too,supportive sentiment,0.534
Bisa beli dimna ini,product-focused response,0.342
"Kalo bisa bantu ngurangin lemak dan lancarin pencernaan, wajib banget dicoba nih 😍",product-focused response,0.7866
"Gw butuh banget nih biar lancar BAB, thanks infonya",supportive sentiment,0.3944
Udah lama cari teh yang bisa bantu diet tapi tetap enak diminum😍,supportive sentiment,0.5755
I would love to try that tea,supportive sentiment,0.5041
"Udah BPOM juga, aman dong Bikin penasaran banget 😍",supportive sentiment,0.6068
"nah produk yang udah lama aku cari, perut udh mulai buncit😍",product-focused response,0.571
Mau nyoba ah,relatable engagement,0.5679
I would love to try this tea,supportive sentiment,0.503
I love a good cup of tea,supportive sentiment,0.4867
Looks like I need to try that.,supportive sentiment,0.4477
This tea sounds like a game-changer. 🍵,relatable engagement,0.5115
This is amazing!,supportive sentiment,0.8902
"Waterproof and smudgeproof? Yasss, perfect for long days! 🥰",supportive sentiment,0.6924
I love the continuous spray bottle!! 😍😍,supportive sentiment,0.4077
This is a nice product,product-focused response,0.8286
I want to try this product! ❤️,supportive sentiment,0.7285
I need this kind of spray in my life!,supportive sentiment,0.3993
Sounds like a great product.. Will definitely check it out,product-focused response,0.6016
"I need to share this with my daughters, looks like a nice product",product-focused response,0.8492
Sounds like a really great product,product-focused response,0.7839
Oh wow seems like a good product,supportive sentiment,0.5124
This looks like a really great product to have,product-focused response,0.7896
Perfect moisturizer for ourskin and beautiful brand❤️,supportive sentiment,0.4836
I like that it's so easy to use,supportive sentiment,0.8424
I need to try this product ❤️,supportive sentiment,0.724
That is a great product!,product-focused response,0.6412
Looks so effective on you!,supportive sentiment,0.6124
"thanks tips pake spray. asli baru tau,biasanya pake akhir😍",product-focused response,0.6958
I need a long lasting setting spray like that🙌,product-focused response,0.7137
Looks like a great product!,product-focused response,0.542
I looove the green branding,supportive sentiment,0.8354
Sebagus itu ya ka,supportive sentiment,0.8505
I'd love to try this,supportive sentiment,0.6703
Wondeeful product and good for our skin❤️,supportive sentiment,0.6116
Can I get this in the states?,product-focused response,0.2959
Nah ini nih harus punya,product-focused response,0.4497
Nice product your demo on point,product-focused response,0.615
I bet this will look great on me!,supportive sentiment,0.7924
Penjelasannya oke dgn product yg recommended makin-makin deh wajib coba sih ini 😍,supportive sentiment,0.4022
The Sandwich Technique + NPURE sounds like a game-changer!,product-focused response,0.4114
Amazing product! Definitely check it out.,product-focused response,0.7781
I need that product for myself❤️,supportive sentiment,0.5977
This really looks amazing product.,product-focused response,0.728
I have to use setting spray more,relatable engagement,0.3662
"You had me at waterproof and smudge proof! That sounds like a great setting spray, definitely want to check this out. Thanks for sharing.",relatable engagement,0.5974
buat makeup tahan lama ya bagus banget kak 😍,supportive sentiment,0.7152
This looks like a very great product to try,product-focused response,0.5838
🩷🩷🩷,relatable engagement,0.3671
I need to try this one.,relatable engagement,0.5933
"Sangat bermanfaat informasinya ka, insyallah recommended 😍",supportive sentiment,0.6543
Bye matahari dahh 🔥,supportive sentiment,0.4315
Nice product and demo. Looks effective,relatable engagement,0.6823
Such a wonderful and amazing product,product-focused response,0.8322
Setting spray is one that I always tend to forget I need this,relatable engagement,0.3352
That looks so good 😍,supportive sentiment,0.8531
Great product,product-focused response,0.7776
Sounds like an excellent supplement! I'm going to check it out!,supportive sentiment,0.7362
"Glowing skin in 14 days? Yes, please! ✨🥰",supportive sentiment,0.7191
I will check that out ❤️,supportive sentiment,0.8688
What a great supplement! Need,supportive sentiment,0.6553
Love this! This is so pretty for sure ❤️,supportive sentiment,0.8757
Love this product and the healthy benefits,supportive sentiment,0.7014
Can't wait to try it for that glowing skin! 🧡✨,supportive sentiment,0.7648
In only 14 days!? That’s epic!!,supportive sentiment,0.4186
Sounds like a good one to try,supportive sentiment,0.4409
Can we get this in the US?,relatable engagement,0.3662
Omg I definitely need to try,supportive sentiment,0.6582
This looks like a great product to use!,product-focused response,0.4604
I am so loving this and I am a huge cotton fan!,supportive sentiment,0.6674
Great for our health and amazing😍,supportive sentiment,0.8819
Collagen are some great stuff ⭐️,supportive sentiment,0.7431
Looks like a great supplement that's very well needed! 😍,supportive sentiment,0.6433
Sounds like a great product. 👏,product-focused response,0.5593
Such valuable information!! Keep it coming,supportive sentiment,0.693
I really need to start taking collagen too ❤️,supportive sentiment,0.6684
Collagen is so so important,supportive sentiment,0.4716
Such a beautiful arrangement,relatable engagement,0.4904
Looks like a really great product,product-focused response,0.6783
collagen is always the key✨,supportive sentiment,0.7986
Collagen is such a great anti-ager!🙌,supportive sentiment,0.6332
I need to try this product,product-focused response,0.6883
Wah banyak bgt manfaat produknya😍 wajib beli sihh🔥,supportive sentiment,0.5908
Great products 🙌😍,supportive sentiment,0.7277
ka ell pas aku cari inii😢😍,relatable engagement,0.3344
Menariiikk mesti coba deh 😍😍,supportive sentiment,0.8659
Wah keren banget ini.. wajib dicoba 😍,supportive sentiment,0.7552
"All of these benefits, AND I hear it even tastes good 😉!",supportive sentiment,0.4101
This is really so pretty. Loved it.,supportive sentiment,0.4587
Gorgeous,supportive sentiment,0.3823
I will try this for sure.,relatable engagement,0.4622
Ini asem bikin asam lambung kumat gak kak??,relatable engagement,0.6478
I need to start taking collagen,relatable engagement,0.3385
love the self care process !,supportive sentiment,0.7597
Aman busui kah?,supportive sentiment,0.5843
Wow that looks like a great product!,product-focused response,0.4537
Looks like a really useful product,product-focused response,0.7859
😍❤️😍❤️😍❤️😍❤️,passive engagement,0.7125
🌺🌺🌺🌺,passive engagement,0.7269
Sounds like it's a great product,product-focused response,0.6253
Collagen is so good for your body.,supportive sentiment,0.4973
It sounds like a very helpful product!,product-focused response,0.486
Sounds like a great skin care product! 😍,product-focused response,0.4297
I need to try it! You look so cute ❤️,supportive sentiment,0.8542
I bet this taste really refreshing. Would love to try it,supportive sentiment,0.5978
Collagen is such a great nutrient 🙌,supportive sentiment,0.6426
will have to check this out✨,supportive sentiment,0.7556
Sounds like a really great product. Definitely one for me to try,product-focused response,0.787
These sound like great collagen items for your skin,supportive sentiment,0.574
Love the sound of this,relatable engagement,0.5888
"I've heard of this collagen product, it's so good ✨️🩷🫶🏻",supportive sentiment,0.6291
I need to give this a try.,relatable engagement,0.4448
Sounds like some fab products!,supportive sentiment,0.4635
💋💋💋💋💋,passive engagement,0.7572
Laahh ini jg fav aku nih ka 🤤,relatable engagement,0.4532
I’ll have to check them out!,product-focused response,0.4165
Taste great and looks beautiful,supportive sentiment,0.3466
This looks like a great way to get what you need!,supportive sentiment,0.5128
"Penjelasannya sangat bermanfaat, pengen nyoba deh jadinya 😍",supportive sentiment,0.6144
Pantes makin cerah,supportive sentiment,0.8648
💖💖💖💖💖,passive engagement,0.7926
Seems like a pretty diverse product. Wonder if it tastes good!,relatable engagement,0.3354
kak ini beneran asli bikin cerahh😢😢,relatable engagement,0.5262
Bisa dikonsumsi umur brp ini,product-focused response,0.6731
Jadi mau coba juga nih ka 😍,supportive sentiment,0.7172
❤️❤️❤️❤️,passive engagement,0.7609
👏👏👏👍👍👍,passive engagement,0.6388
I need to try this product.,product-focused response,0.7172
Penasaran bgt sama ini dari dulu,relatable engagement,0.651
These products are awesome! They work so well,supportive sentiment,0.502
Oooo those look interesting,supportive sentiment,0.4105
😍😍😍😍😍😍,passive engagement,0.7755
🤩🤩🤩🔥🔥🔥,passive engagement,0.351
I bet these collagen products are great!,supportive sentiment,0.5799
Penasaran sama produk ini pengen cobaa,product-focused response,0.4166
Mau nyobain,relatable engagement,0.4959
Aman gak buat busui,product-focused response,0.2836
Those sound like great skincare products.,product-focused response,0.5122
bisa buat cowok juga kak,product-focused response,0.433
pantesan makin cerah kulitnya mommy😍😍,supportive sentiment,0.7883
If that's the result from what you're using great work,relatable engagement,0.6725
🥺,passive engagement,0.3671
Aaaaarggggggg!!!🔥,passive engagement,0.7688
AAAAAAAAA 🫨🫨🫨,passive engagement,0.5476
AaaAaAaaaaaaAa📢📣,passive engagement,0.5551
So colorful 😀😍🥰☺️😂,supportive sentiment,0.7608
Lucu bangaaattt,supportive sentiment,0.7062
Ka irin slalu gemas dan cantik sekali bersama ootd nya❤️,relatable engagement,0.7524
aku sih suka yaa🩷gaktau yang lain,supportive sentiment,0.9421
Inspirasiku❤️,supportive sentiment,0.7123
Kyootiiee😍❤️,supportive sentiment,0.8807
Mang boleh murid smp se aesthetic ini😫😻,relatable engagement,0.6887
Cantiknyaa😍,supportive sentiment,0.6113
Ternyata walau beda warna tetep matcy ya 😍,supportive sentiment,0.6923
Sangaad mewarnai 🔥🔥🔥,supportive sentiment,0.8351
😍❤️ milop,supportive sentiment,0.7832
GUA FANS NOMER 1 LU KAK😍😍😍,supportive sentiment,0.7066
"Kalau yg pake Teh Irin keliatan lucuu dan cocok, enggak kebayang kalau aku yg pake",relatable engagement,0.5486
tapi menurutku gk harus semuanya. kita harus bisa memilih mana yang pantas diceritakan dan tidak diceritakan kalau masih tahap mencari pasangan. karna ada banyak diluar sana pria yang bermulut ember. tetap tutup aibmu rapat rapat dan jangan pernah ulangi lagi itu sudah cukup. tapi untuk kesehatan dan financial ya itu wajib dibicarakan.,relatable engagement,0.3131
jujur itu sakral banget,relatable engagement,0.4716
Jujur itu mahal. Sangat2 mahal!,relatable engagement,0.3411
"Im the end kayanya ga akan ada orang yg bener bener Nerima kita apa adanya selain Tuhan ga sih? Kaya mau berharap jg takut kecewa 😂 jadi ya berusaha realistis aja, tunjukin yg emang bisa dia terima selebihnya simpan sendiri. Sama pasangan pun kita ttp harus ada rahasia yg perlu kita simpan sendiri terutama soal kondisi keluarga ga sih?",relatable engagement,0.6479
🕊️❤️‍🩹,passive engagement,0.7027
"asli… kalo kamu tulus, mau berubah, pasti dia mau kok nerima masa lalu kamu kaya apa. yg penting masa kini kaya gimana, dan gimana mau ke masa depan.",supportive sentiment,0.5929
"yang aku mau pasangan yg transparan🥰 bukan hanya bicara jujur karena diminta, tapi memberitahu tanpa ditanya😊❤️",supportive sentiment,0.8318
"nangis waktu jujur ke dia kalau aku mungkin gabisa berkembang dan merantau jauh karena aku anak kedua dan caregiver di rumah. i let him go, but he stays ☹️❤ semoga akan selalu begitu, at least i alr told him the truth ☹️",relatable engagement,0.6083
"Aku sblm dekat sama suamiku, cek wetonnya dlu 🤣. Jujur krena g mau buang2 wktu pcaran lama, sblmnya kandas krena weton jg. Trus pas pcaran sama dia aku cerita keluargaku kayak gimana. aku suruh nanya ke ortunya dlu. Kalo memang g suka, gpp stop aja. Dripada udah pcaran lama2. Trus ortunya minta aku ke rumahnya, kita ngobrol2 cerita banyak hal, tpi gda 1 pun bahas keluargaku. Pas aku pulang, suamiku telp dan dia blg, ""kata bapak, apapun masa lalu keluarga, itu milik ayah ibunya. Yang penting bagaimana anaknya tumbuh dg baik smpe saat ini"". Krena ortuku cerai kan. Dan kotaku tu kota kecil, dlu sering dibully krena aku g pnya ayah. Ibuku jg udah nikah lgi wktu itu. Yaudah lanjut akhirnya pacaran 3th, dan skr udah nikah 10th 😊",relatable engagement,0.2705
Aku selalu begini ke pasangan “lebih baik aku tau dari mulut kamu langsung daripada aku tau dari mulut orang lain. Semua ada konsekuensinya. Jadi terserah kamu mau pilih yang mana”,relatable engagement,0.8535
"Truee, jujur dan terbuka",relatable engagement,0.7848
"benar! waktu baru kenal dan masih temenan, aku cerita aku gini dan gitu. kurang aku begini, sifat aku begini. awalnya sharing story aja, eh dia suka, aku juga suka. pacaran lah. dari awal aku udah ngobrolin banyak banget hal, terutama tentang background, goals, dan jelas diri dia sendiri. pastinya ada kekurangan dan kelebihan. ada yang perlu dilakukan dan ada yang perlu diperbaiki. jadi dari awal aku bilang spesifik, aku mau dia begini dan begitu. untuk kebaikan kita dan keluarga yang akan dibangun nanti. kalo dia gak cocok sama permintaanku, bisa stop dari awal daripada udah pacaran bertahun-tahun dan dapet sakit hatinya doang. tapi dia terima, dan dia selalu berusaha lakukan yang terbaik seperti yang aku minta ❤️",relatable engagement,0.5183
@putriard25 jujur & terbuka yaa❤️,social virality,0.5095
@vanzls terbuka dan jujur 😢,social virality,0.9601
@pieter.sanam,social virality,0.6275
🔥🔥🙌🙌😢👏👏,passive engagement,0.3534
"kebanyakan d era sekarang mengenal lebih dalam itu seperti ingin mengambil identitas pribadi, padahal tujuan dari perkenalan lebih dalam menurut saya sendiri itu bisa saling mengetahui d mana letak kurang lebihnya dari pihak masing masing dan bisa saling melengkapi jika kedua belah pihak mempunyai kekurangan atau kelebihan masing masing.🙌",relatable engagement,0.4662
@yuliarst21_,social virality,0.479
"@khairinadiar tapi ini sudut pandang pembaca, karna kalau dari kalimatmya *berhak tahu* kayaknya gk semua hubungan di awal pasangan berhak tahu segala hal tentang kita. yang paling terpenting bukan masa lalu tapi masa depan. kalau memang dia tujuannya maka yang harus dibicarakan tujuan masa depan, pola pikir untuk membangun rumah tangga. ini sudut pandangku sebagai pembaca (wanita) ya kak. karna kalau itu diposisikan di aku kayaknya aku lebih baik membicarakan hal prinsip untuk hubungan jangka panjang dan dari sana aku bisa menilai layak atau tidak layaknya untuk diterima 😊",social virality,0.558
@iyatingg,social virality,0.5638
"Ntah awal atau kapan pun dia jujur, intinya hanya soal kesiapan dia menyampaikan. Ketika orang itu benar² saling mencintai maka bukan soal di awal, tengah, atau akhir tapi soal kita menerima semua sisinya. Hargai dia yg sudah berusaha jujur, Cintai dan sayangi karena apa yg ada pada dirinya sekarang serta terima apapun bentuk kurang/masa lalu/ataupun yg lainnya.",relatable engagement,0.8431
"Yes jgn sampe bilang ""aku kaget kamu gini sejak awal kenal kamu ga pernah punya sifat sikap gini"" kek rasanya di bohongin enaknya itu jujur apa adanya",relatable engagement,0.2921
Facts. Bingung sama yg malah nutup2in biar pasangan ga tau😮‍💨🙏,relatable engagement,0.5656
@frans.b denger ini sayang,social virality,0.7849
"maafin aku karena pola pikir ku dulu masih bodoh dan ga seperti sekarang,namun sekarang soal apapun itu aku tidak akan menutupinya dari mu💗",relatable engagement,0.9061
🫶🏻 @bokuwadare__,social virality,0.4561
😌,passive engagement,0.6281
"@rzkyj_ terima kasih sudah menerima aku yaa, tidak ada hal yang harus sembunyikan 🫶🏻",social virality,0.6619
"Jujur itu mahal, dan sangat mahal",relatable engagement,0.4083
"setuju bgt siii, klo 2manusia uda siap buat ngejalanin hubungan brrti uda siap buat terbuka entah apapun masalahnya. ga etis aja klo satunya bahagia trs satunya malah nyimpen masalah sendirian. kesannya kaya krg kenal lebih dalam dri pasangannya",relatable engagement,0.5505
@ans_syaftr 🙌,social virality,0.7744
"Aku pas mau tunangan nanya lagi ke keluarga cowoku mengenai sakit yg aku derita, awalnya aku sm cowoku nangis karna takut endingnya ga sesuai harapan. Tapi keluarga cowoku ga mempermasalahkan sakitku dan keduanya mau nerima kekurangan itu🤏🏻 cuma kdg aku yg takut dan mikir mau udahan aja karna aku gamau jd beban buat org lain nantinya, apalagi takut nurunin penyakitnya ke anak aku kelak🥲",relatable engagement,0.545
"Mantan gw ngaku bujangan awalnya, sampe akhirnya beberapa hari setelah jadian dia tunjukkin sendiri KTP nya berstatus kawin. Dia ngaku ke gw bilangnya udah duda dan cerai mati tapi suratnya blm diurus jadi KTP nya masih status Kawin. padahal pas gw telusuri mantan bini yg dikatainnya mati itu ternyata masih idup demi allah trauma gw. Dan lebih goongnya lagi dia sama mantan bini yg dia klaim ketabrak angkot itu ga nikah, dia nikahnya sama perempuan lain bukan seseorang yg dia klaim bininya yg dia bilang dah tewas ketabrak angkot itu.",relatable engagement,0.5782
@tahuuusumedanggg BACAAA,social virality,0.6426
Memanipulasi kisah cinta sebelumnya dan berlagak seperti korban adalah sejahat-jahatnya penjebakan yg menyakitkan.,relatable engagement,0.9321
menyembunyikan sesuatu agar pasangan bertahan adalah sejahat-jahatnya penjebakan.,relatable engagement,0.8982
ro baca ro @esseju1cy_,social virality,0.5656
@firmanbasmalah,social virality,0.7956
Kan bisa cerita sama aku 😞,social virality,0.6586
@s.ptyndp,social virality,0.5997
Gemec bangets 😘🥰❤️,supportive sentiment,0.761
Cakepp naaa 😍😍😍,supportive sentiment,0.6058
cantikkk terusss deh herannnn,supportive sentiment,0.9136
spill kaosnyaaa gemasshhh😍😍😍,product-focused response,0.6682
OMAGAHHH SO LOVELY 😍😍,supportive sentiment,0.6991
"Manisee, awas diculik kak🤭",supportive sentiment,0.4765
ga keliatan umur 30nya iiii,supportive sentiment,0.348
Eh kok ada anak kicik main sendirian?,relatable engagement,0.7429
Kaya gini 32? Mustahil,relatable engagement,0.3177
sendirian aja ni maniezzz. ayo pacaran ma ak,relatable engagement,0.6398
Masi ada berapa postingan lagi ka? Jgn sampe baru diposting lebaran tahun depan ya 🙏🏻,supportive sentiment,0.7593
GEMASNAH❤️,supportive sentiment,0.7893
tos dulu tim latepost🫸🏻🫷🏼🫱🏻‍🫲🏼🧏🏻‍♀️,supportive sentiment,0.5432
"Panjang bener lebarannya, Kak ✨",supportive sentiment,0.4698
Ah so cute,passive engagement,0.4832
CUTEST,passive engagement,0.4311
love thiiisss😍😍😍😍,passive engagement,0.7508
Angel's dressing 101😍,supportive sentiment,0.4616
love the design😍,supportive sentiment,0.7657
thank you,supportive sentiment,0.9073
"Thank you for your support, means a lot to us 🤎 #ochafordaily",supportive sentiment,0.7614
gorg😍,passive engagement,0.7935
Oh my!! 😍❤️,passive engagement,0.7942
😍🔥🔥❤️❤️,passive engagement,0.8407
Cantik bangettt😍😍,passive engagement,0.5694
Angeeeeel😍🪽,passive engagement,0.7177
girlll😍,passive engagement,0.678
Preetyyy❤️,passive engagement,0.8286
🔥🔥❤️,passive engagement,0.7709
aduhhh buuuk cakepnyoo😍,passive engagement,0.8473
Cakep banget lipsticknyaa,supportive sentiment,0.3969
pertama,relatable engagement,0.5034
wowww😍😍😍 bagus bgtt,supportive sentiment,0.8612
🧺😍🫰🏻,supportive sentiment,0.6552
Cantip lighting nya pun cantip,supportive sentiment,0.3242
"arghhh gemessss,.,maauuu 1 dunkkkk❤️🔥",supportive sentiment,0.7419
Gorgeous!😍🔥,supportive sentiment,0.6771
Mau dong tas nya,supportive sentiment,0.5312
keren banget mas fahmiiii 👍,supportive sentiment,0.9034
Selamat datang di Unair dek 😊 kalau boleh di repost tag ya 😁,relatable engagement,0.7017
kereen..,supportive sentiment,0.4584
bagus.. repost ya? teg kalau boleh,relatable engagement,0.6245
Gembrot terbaiiqqs,supportive sentiment,0.5763
Kereen bangett!!! Ni udh on TV,supportive sentiment,0.6842
Anjirrr mas fahmi,supportive sentiment,0.5237
Ampun 🙏🏼🙏🏼🙏🏼,supportive sentiment,0.9138
Kaget! Gue kira apaan! Ternyata udah muncul di tipi masa kini! Gila gila gila,supportive sentiment,0.5192
Udah jadi artis 😎,supportive sentiment,0.3275
"you are so amaze dud , keep going 🔥🔥❤️",supportive sentiment,0.9138
"So inspiring.,. 👍👍👍",supportive sentiment,0.7005
"Hehehe, masuk net rek",supportive sentiment,0.3627
Suanggggaaaaarrrrr,supportive sentiment,0.8776
@fahmiadimara wes ndang lulus mbon. Ojok kuliah terus,supportive sentiment,0.4688
Din ko ga mahasiswa undip din 😁😝,supportive sentiment,0.5969
Mantaap mang lanjutkaan,supportive sentiment,0.7684
Kueceeeeeeeeeee,supportive sentiment,0.6046
@fahmiadimara kapan dolan bareng2 sam?,supportive sentiment,0.6002
BANGGA!,supportive sentiment,0.7983
Wah kapan jadi bintang tamu hitam putih 😝,supportive sentiment,0.5413
👏🏻👏🏻👏🏻 sukses terus mas,supportive sentiment,0.8457
Junjungan,supportive sentiment,0.3687
ngakak salah fokus syarifudin😂,supportive sentiment,0.5892
Selamat om,supportive sentiment,0.7952
Whenakkk,relatable engagement,0.3616
@fahmiadimara hahaha,relatable engagement,0.5351
Gue nungguin elu muncul hahaha,supportive sentiment,0.7742
Kamis budhal ! @fahmiadimara,supportive sentiment,0.5257
@fadhilram,relatable engagement,0.4504
@fahmiadimara,relatable engagement,0.503
Ayo ngopi cuuuuk !,supportive sentiment,0.7161
Waiki idola tenan,supportive sentiment,0.7183
@fahmiadimara arek panjunan ta mas ?😂,supportive sentiment,0.417
Yang muda berkarya 👏👏👏,relatable engagement,0.629
@fahmiadimara kejaam 😎😁,relatable engagement,0.4652
Cuuuuuuuuk !,supportive sentiment,0.8165
Inspiratif sekali anak mudaa,relatable engagement,0.6824
Teruslah berkarya browww,supportive sentiment,0.9058
"embok bok bok, joossshhh",supportive sentiment,0.7543
Rene nang ndi masss...,supportive sentiment,0.3827
anzaayyy iyo iyo kak 🙏🏻🙏🏻👏🏻👏🏻 wkw,supportive sentiment,0.7788
Kebanggaankuuh ❤❤❤❤❤,supportive sentiment,0.7932
proud of you mas @fahmiadimara teruslah tumbuh kebaikan 🔥,supportive sentiment,0.8658
Menyalaa maskuuu🔥🔥,supportive sentiment,0.5447
Selamat Mas Fahmi..👏🔥🔥🔥,supportive sentiment,0.8933
🔥🔥🔥🔥 gokil maseee,supportive sentiment,0.4664
Grogimu berkualitas cok 🔥🔥,supportive sentiment,0.5843
Keren mas. Barakalloh,supportive sentiment,0.9109
Mantab🔥,passive engagement,0.7876
👏👏👏👏,passive engagement,0.6365
Kereen Fahmi,relatable engagement,0.4621
Kebayang cuk grogine 😂,relatable engagement,0.6528
Selamat mas @fahmiadimara,supportive sentiment,0.8943
Semakin jaya mas fahmi 🔥,supportive sentiment,0.8211
👏👏👏,passive engagement,0.5969
Mantapp mas👏,supportive sentiment,0.8213
Josss mas bro,supportive sentiment,0.8142
Idolaku jancoooook 💙✨,supportive sentiment,0.7728
asli e PP Gear 5 luffy 🔥🔥🔥,spam or irrelevant,0.3541
"Tambaah ngueriiiii, jooos tenaaaan Maaas 🙌🙌🙌",supportive sentiment,0.6441
Ugal ugalan tambah awur awuraannnnn 🔥🔥,relatable engagement,0.3593
Congraaats mas 👏👏👏,supportive sentiment,0.8497
Bangga liat abang🔥🔥🔥🔥,supportive sentiment,0.8214
Wihh keren mase🙌🔥👏,supportive sentiment,0.794
👏 kereeennn mas broo 😍,supportive sentiment,0.7511
kereeen poll🔥,supportive sentiment,0.4917
Satu tim realme ternyata mas suhu ini🔥🔥🔥,supportive sentiment,0.4006
Keren 🔥🔥🔥,supportive sentiment,0.38
nguweiiiiii 😍😍,supportive sentiment,0.7487
kereeeennnn 👏👏👏👏👏👏,supportive sentiment,0.6878
Info mangan geden 😅😅,relatable engagement,0.5427
AHA SELALU KEREEEENNN 👏👏,supportive sentiment,0.7943
Info genduren gan🙌,supportive sentiment,0.7425
Keren... Gasss,relatable engagement,0.4942
kelasss,supportive sentiment,0.4608
Emang ga capek sukses terus?,supportive sentiment,0.3637
Mantap cuk,supportive sentiment,0.8039
Nguweri rek,supportive sentiment,0.4779
topp! keren bangettt Mas Fahmi 👏👏👏,supportive sentiment,0.5626
Wadaw .... festival kopi seru ya. Maen lah le gunung muria,relatable engagement,0.4723
buening get mas ig premium iki 😂,supportive sentiment,0.4784
Seruput kopine,supportive sentiment,0.3536
🔥👏😍😍,passive engagement,0.5817
cakep🙌🔥,passive engagement,0.698
Senang ngeliatnya mas 👏👏,supportive sentiment,0.7624
Paten,supportive sentiment,0.701
Keren mas🔥🔥🔥,supportive sentiment,0.8397
Ini rasanya keren,supportive sentiment,0.8373
luar biasa teman2 @sekawanbumi kerja nyata dan iklas untuk @hutanwakafypm Semoga menjadi Amalan yang luar biasa untuk teman2 sekawan bumi.. support teruss pokoknya saya 😍,supportive sentiment,0.7529
"Keren, visi, misi dan aksi. Salam bumi lestari🔥🙌",relatable engagement,0.5211
"Suwangar puooolll konco2 @sekawanbumi , semoga segala macam effort yang dicurahkan untuk @hutanwakafypm dapat menjadi keberkahan dan amal jariyah sampai KIAMAT🤲🏻🤲🏻🤲🏻",supportive sentiment,0.9338
"Masya Allah, Tabarokallah🤲",supportive sentiment,0.9511
"MasyaAllah Alhamdulillah terus jaga & rawat paru2 bumi dari hal terkecil, salam sukses dan berkah @sekawanbumi & @hutanwakafypm 😍",supportive sentiment,0.7709
"Doaku untuk tim sekawan bumi sehat selalu Yach, Smoga banyak terlimpah keberkahan",supportive sentiment,0.8943
Yok budal maneh yok,relatable engagement,0.6609
❤️,passive engagement,0.7124
😢👏👏🔥🔥😢😢👏👏GASS,passive engagement,0.5723
"Apakah menunggu Hutan Kita Gundul dan Longsor baru kita bergerak menolong dan membantu, kalau bukan kita siapa lagi, kalau tidak sekarang kapan Lagi,, Lindungi Hutan Bersama Dulur2 @sekawanbumi melalui Hutan Awal di @hutanwakafypm ❤️",supportive sentiment,0.6585
Nah iki jossss,supportive sentiment,0.7326
"Narasi diimbangi dengan aksi, ini baru kerja nyata. 🔥🔥🔥",relatable engagement,0.9384
"Keren pollll! Semangat terus, @sekawanbumi 👏🏻",supportive sentiment,0.5148
"Terus Bergerak, Bertumbuh & Berkembang @hutanwakafypm . Salam Lestari!",supportive sentiment,0.8015
Gerakan aksi nyata dalam menghutankan lahan kritis di bawah kaki gunung anjasmara mojokerto,relatable engagement,0.9694
sae sae sae,passive engagement,0.6145
Suangaar luuurrr,passive engagement,0.7054
Hajar terus🔥🔥🔥 bang Fahmii,supportive sentiment,0.5758
🔥🔥meledak,supportive sentiment,0.3902
netizen siap menyambut adipara jilid 4 😍😍,supportive sentiment,0.809
renggo siap siap yaa 🤗,supportive sentiment,0.6914
lucu ii,relatable engagement,0.3424
😭😭😭😭 masuk cf,relatable engagement,0.6009
"Mesra terus, enak banget liatnya. Gue mah dapetnya versi pendek,durasi dan ukuran. Ada solusi beneran gak?😓😓",supportive sentiment,0.6443
"ngapain pada senyum hayo, emang diajak 🫵🏻😭",relatable engagement,0.7878
LUCUUUUUUUUUU❤️,supportive sentiment,0.7725
yaahhh jadi lagi inimah,supportive sentiment,0.6563
kak takuttt😭😭😭,relatable engagement,0.4818
Udah cantik pulen wah semoga dapet cwo yang mapan dan tahan lama diranjang ya mba biar puas nafkah batin nya ga kaya suamiku baru 2 menit aja dah crt😭,supportive sentiment,0.3795
🙈🙈,relatable engagement,0.2976
ok teteh zoe otw 3 adik,relatable engagement,0.5419
"dluan aja padaan, gua udh sejam disini😭",relatable engagement,0.4195
TAKUTTTTTTT BANGET ADA YG KEEMPATTT 😭😭😭,passive engagement,0.4447
kokop kak uda like,supportive sentiment,0.6829
apakah ada renggo atau zoey jilid 2 😭,relatable engagement,0.3909
kak suaminya mirip @jnkmsc 😭😭😭,relatable engagement,0.9083
WKWKWKWKKK,supportive sentiment,0.3194
